#peakID	chr	start	end	strand	PC1
chr10-3100000	chr10	3100000	3200000	+	-0.39868238116791
chr10-3200000	chr10	3200000	3300000	+	-0.570573866793933
chr10-3300000	chr10	3300000	3400000	+	-0.519856394275428
chr10-3400000	chr10	3400000	3500000	+	-0.720829339816534
chr10-3500000	chr10	3500000	3600000	+	-0.0937093082004281
chr10-3600000	chr10	3600000	3700000	+	-0.133136277004078
chr10-3700000	chr10	3700000	3800000	+	0.0843512194817153
chr10-3800000	chr10	3800000	3900000	+	0.68524001944068
chr10-3900000	chr10	3900000	4000000	+	1.02746456625401
chr10-4000000	chr10	4000000	4100000	+	1.37512376961831
chr10-4100000	chr10	4100000	4200000	+	1.39749896594488
chr10-4200000	chr10	4200000	4300000	+	1.46226690865693
chr10-4300000	chr10	4300000	4400000	+	1.43594984551166
chr10-4400000	chr10	4400000	4500000	+	1.24240244129553
chr10-4500000	chr10	4500000	4600000	+	0.569287750738277
chr10-4600000	chr10	4600000	4700000	+	-0.0987394558406352
chr10-4700000	chr10	4700000	4800000	+	-0.668731873194016
chr10-4800000	chr10	4800000	4900000	+	-0.832282696826186
chr10-4900000	chr10	4900000	5000000	+	-0.739412897306326
chr10-5000000	chr10	5000000	5100000	+	-0.49266744008621
chr10-5100000	chr10	5100000	5200000	+	0.0296217469300469
chr10-5200000	chr10	5200000	5300000	+	0.000203913613836831
chr10-5300000	chr10	5300000	5400000	+	-0.310812334744197
chr10-5400000	chr10	5400000	5500000	+	-0.470376918149631
chr10-5500000	chr10	5500000	5600000	+	0.23239127800146
chr10-5600000	chr10	5600000	5700000	+	0.0428971032509972
chr10-5700000	chr10	5700000	5800000	+	0.134768484625113
chr10-5800000	chr10	5800000	5900000	+	0.655688801486443
chr10-5900000	chr10	5900000	6000000	+	-0.360523555089838
chr10-6000000	chr10	6000000	6100000	+	-0.685907076092953
chr10-6100000	chr10	6100000	6200000	+	-0.677758652786537
chr10-6200000	chr10	6200000	6300000	+	-0.943572773117512
chr10-6300000	chr10	6300000	6400000	+	-0.862511977310172
chr10-6400000	chr10	6400000	6500000	+	-0.975523849073732
chr10-6500000	chr10	6500000	6600000	+	-0.898591206584735
chr10-6600000	chr10	6600000	6700000	+	-1.06651406236812
chr10-6700000	chr10	6700000	6800000	+	-0.943286265808543
chr10-6800000	chr10	6800000	6900000	+	-0.179853151091814
chr10-6900000	chr10	6900000	7000000	+	-0.610743080109978
chr10-7000000	chr10	7000000	7100000	+	-0.324790161428756
chr10-7100000	chr10	7100000	7200000	+	0.213762313482473
